date,home_team,away_team,prop_odds_game_id,sportsbook,home_team_odds,away_team_odds,winner
2023-04-06,Philadelphia 76ers,Miami Heat,dab2e7fc5323722ebc5b2f3fef161d4f,fanduel,-166,140,
2023-04-06,Philadelphia 76ers,Miami Heat,dab2e7fc5323722ebc5b2f3fef161d4f,draftkings,-170,145,
2023-04-06,Philadelphia 76ers,Miami Heat,dab2e7fc5323722ebc5b2f3fef161d4f,caesars,-178,150,
2023-04-06,San Antonio Spurs,Portland Trail Blazers,e32cebe03996038ae3f304c8a073b0fc,fanduel,-136,116,
2023-04-06,San Antonio Spurs,Portland Trail Blazers,e32cebe03996038ae3f304c8a073b0fc,draftkings,-130,110,
2023-04-06,San Antonio Spurs,Portland Trail Blazers,e32cebe03996038ae3f304c8a073b0fc,caesars,-135,115,
2023-04-06,Utah Jazz,Oklahoma City Thunder,20253dfa3ec6970483a76a6f9864afee,fanduel,225,-275,
2023-04-06,Utah Jazz,Oklahoma City Thunder,20253dfa3ec6970483a76a6f9864afee,draftkings,210,-250,
2023-04-06,Utah Jazz,Oklahoma City Thunder,20253dfa3ec6970483a76a6f9864afee,caesars,210,-260,
2023-04-06,Phoenix Suns,Denver Nuggets,2a6f714f5ad70cb4a21dda68dfd33f91,fanduel,-300,245,
2023-04-06,Phoenix Suns,Denver Nuggets,2a6f714f5ad70cb4a21dda68dfd33f91,draftkings,-280,235,
2023-04-06,Phoenix Suns,Denver Nuggets,2a6f714f5ad70cb4a21dda68dfd33f91,caesars,-305,240,
2023-04-07,Charlotte Hornets,Houston Rockets,0f242a1fdad19b8bbbe719941bf27b89,fanduel,116,-136,
2023-04-07,Charlotte Hornets,Houston Rockets,0f242a1fdad19b8bbbe719941bf27b89,draftkings,120,-140,
2023-04-07,Charlotte Hornets,Houston Rockets,0f242a1fdad19b8bbbe719941bf27b89,caesars,118,-140,
2023-04-07,Indiana Pacers,Detroit Pistons,653a443fe3ec6d0b91978021e7abbd53,fanduel,-290,235,
2023-04-07,Indiana Pacers,Detroit Pistons,653a443fe3ec6d0b91978021e7abbd53,draftkings,-275,230,
2023-04-07,Indiana Pacers,Detroit Pistons,653a443fe3ec6d0b91978021e7abbd53,caesars,-285,228,
2023-04-07,Washington Wizards,Miami Heat,0c4cc1ea3bd6a5aca5ee3a9212f7611e,fanduel,194,-235,
2023-04-07,Washington Wizards,Miami Heat,0c4cc1ea3bd6a5aca5ee3a9212f7611e,draftkings,185,-215,
2023-04-07,Washington Wizards,Miami Heat,0c4cc1ea3bd6a5aca5ee3a9212f7611e,caesars,185,-225,
2023-04-07,Atlanta Hawks,Philadelphia 76ers,f261bda3a4aa9e0db7bc838d1dcc9157,fanduel,-480,370,
2023-04-07,Atlanta Hawks,Philadelphia 76ers,f261bda3a4aa9e0db7bc838d1dcc9157,draftkings,-425,340,
2023-04-07,Atlanta Hawks,Philadelphia 76ers,f261bda3a4aa9e0db7bc838d1dcc9157,caesars,-455,345,
2023-04-07,Boston Celtics,Toronto Raptors,c2bd1ce6c20373dd74104d3a176f0222,fanduel,-138,118,
